Company,Product,TypeName,Inches,Ram,OS,Weight,Screen,ScreenW,ScreenH,Touchscreen,IPSpanel,RetinaDisplay,CPU_company,CPU_freq,CPU_model,PrimaryStorage,SecondaryStorage,PrimaryStorageType,SecondaryStorageType,GPU_company,GPU_model,Price_Rs,warranty_status,Image_URL
HP,250 G6,dc3efae1,15.6,4,No OS,1.86,Standard,1366,768,No,No,No,Intel,2.5,Core i5 7200U,500,0,HDD,No,Intel,HD Graphics 620,35451,Warranty Expired,https://images.unsplash.com/photo-1602080858428-57174f9431cf
HP,250 G6,40426806,15.6,4,No OS,1.86,Full HD,1920,1080,No,No,No,Intel,2,Core i3 6006U,500,0,HDD,No,Intel,HD Graphics 520,31049.1,Warranty Expired,https://images.unsplash.com/photo-1602080858428-57174f9431cf
Apple,MacBook Pro,b079c5b7,15.4,16,macOS,1.83,Standard,2880,1800,No,Yes,Yes,Intel,2.8,Core i7,256,0,SSD,No,AMD,Radeon Pro 555,219597.3,Under Warranty,https://images.unsplash.com/photo-1573729784472-1c977e33d5d3
Dell,Inspiron 3567,94123135,15.6,4,Windows 10,2.2,Full HD,1920,1080,No,No,No,Intel,2,Core i3 6006U,256,0,SSD,No,AMD,Radeon R5 M430,44901,Warranty Expired,https://images.unsplash.com/photo-1593642702821-c8da6771f0c6
Apple,"MacBook 12""",ed115705,12,8,macOS,0.92,Standard,2304,1440,No,Yes,Yes,Intel,1.2,Core M m3,256,0,SSD,No,Intel,HD Graphics 615,113616,In Progress,https://images.unsplash.com/photo-1517336714731-489689fd1ca8
Apple,MacBook Pro,f0bb005f,13.3,8,macOS,1.37,Standard,2560,1600,No,Yes,Yes,Intel,2.3,Core i5,256,0,SSD,No,Intel,Iris Plus Graphics 640,136669.5,In Progress,https://images.unsplash.com/photo-1512499617640-c2f999098a59
Dell,Inspiron 3567,9fd0cb81,15.6,8,Windows 10,2.2,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,AMD,Radeon R5 M430,67050,Warranty Expired,https://images.unsplash.com/photo-1612219469155-1d257f1d8d2e
Apple,MacBook Pro,6361e94a,15.4,16,macOS,1.83,Standard,2880,1800,No,Yes,Yes,Intel,2.9,Core i7,512,0,SSD,No,AMD,Radeon Pro 560,257220,Under Warranty,https://images.unsplash.com/photo-1573729784472-1c977e33d5d3
Lenovo,IdeaPad 320-15IKB,11348215,15.6,8,No OS,2.2,Full HD,1920,1080,No,No,No,Intel,2.4,Core i3 7100U,1024,0,HDD,No,Nvidia,GeForce 940MX,44910,In Progress,https://images.unsplash.com/photo-1593642634367-d91a135587b5
Dell,XPS 13,5e0eb981,13.3,8,Windows 10,1.22,Full HD,1920,1080,Yes,Yes,No,Intel,1.6,Core i5 8250U,128,0,SSD,No,Intel,UHD Graphics 620,88110,Under Warranty,https://images.unsplash.com/photo-1612219469155-1d257f1d8d2e
Asus,Vivobook E200HA,3d6b4388,11.6,2,Windows 10,0.98,Standard,1366,768,No,No,No,Intel,1.44,Atom x5-Z8350,32,0,Flash Storage,No,Intel,HD Graphics 400,17271,Warranty Expired,https://images.unsplash.com/photo-1593642632823-8f785ba67e45
Lenovo,Legion Y520-15IKBN,c60b66a1,15.6,8,Windows 10,2.5,Full HD,1920,1080,No,Yes,No,Intel,2.5,Core i5 7300HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1050,89910,In Progress,https://images.unsplash.com/photo-1593642634367-d91a135587b5
HP,255 G6,9b34c31b,15.6,4,No OS,1.86,Standard,1366,768,No,No,No,AMD,1.5,E-Series E2-9000e,500,0,HDD,No,AMD,Radeon R2,23220,In Progress,https://images.unsplash.com/photo-1580894908361-967195033215
Dell,Inspiron 5379,cd6a869f,13.3,8,Windows 10,1.62,Full HD,1920,1080,Yes,No,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,73710,Under Warranty,https://images.unsplash.com/photo-1612219469155-1d257f1d8d2e
HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),fd9bc0df,15.6,8,Windows 10,1.91,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,Intel,HD Graphics 620,59310,In Progress,https://images.unsplash.com/photo-1691085475426-d9636c7010b3
Dell,Inspiron 3567,03cf252e,15.6,4,Windows 10,2.3,Standard,1366,768,No,No,No,Intel,2,Core i3 6006U,1024,0,HDD,No,Intel,HD Graphics 520,37677.6,Under Warranty,https://images.unsplash.com/photo-1612219469155-1d257f1d8d2e
Apple,MacBook Air,c83a06e5,13.3,8,Mac OS X,1.35,Standard,1440,900,No,No,No,Intel,1.6,Core i5,128,0,Flash Storage,No,Intel,HD Graphics 6000,98910,In Progress,https://images.unsplash.com/photo-1509395176047-4a66953fd231
Dell,Inspiron 5570,e467ca0a,15.6,8,Windows 10,2.2,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,AMD,Radeon 530,72000,In Progress,https://images.unsplash.com/photo-1593642702821-c8da6771f0c6
Dell,Latitude 5590,030ddb84,15.6,8,Windows 10,1.88,Full HD,1920,1080,No,No,No,Intel,1.9,Core i7 8650U,256,256,SSD,SSD,Intel,UHD Graphics 620,116820,In Progress,https://images.unsplash.com/photo-1588872657578-7efd1f1555ed
HP,ProBook 470,ad90b865,17.3,8,Windows 10,2.5,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,1024,0,HDD,No,Nvidia,GeForce 930MX,80640,In Progress,https://images.unsplash.com/photo-1691085475426-d9636c7010b3
Chuwi,"LapBook 15.6""",32847c53,15.6,4,Windows 10,1.89,Full HD,1920,1080,No,No,No,Intel,1.44,Atom x5-Z8300,64,0,Flash Storage,No,Intel,HD Graphics,22049.1,Warranty Expired,https://images.unsplash.com/photo-1517336714731-489689fd1ca8
Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),223bede6,14,2,Windows 10,1.65,Standard,1366,768,No,No,No,AMD,1.5,E-Series E2-6110,32,0,Flash Storage,No,AMD,Radeon R2,17910,Warranty Expired,https://images.unsplash.com/photo-1587825140708-dfaf72ae4b04
HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,15db230a,17.3,4,Windows 10,2.71,Full HD,1920,1080,No,No,No,AMD,2.5,A6-Series 9220,500,0,HDD,No,AMD,Radeon 530,39510,In Progress,https://images.unsplash.com/photo-1602080858428-57174f9431cf
Dell,XPS 13,a59eecc3,13.3,16,Windows 10,1.2,Quad HD+,3200,1800,Yes,No,No,Intel,1.8,Core i7 8550U,512,0,SSD,No,Intel,UHD Graphics 620,168210,In Progress,https://images.unsplash.com/photo-1588872657578-7efd1f1555ed
Apple,MacBook Air,4d411c29,13.3,8,Mac OS X,1.35,Standard,1440,900,No,No,No,Intel,1.6,Core i5,256,0,Flash Storage,No,Intel,HD Graphics 6000,89820,Under Warranty,https://images.unsplash.com/photo-1517336714731-489689fd1ca8
Lenovo,IdeaPad 120S-14IAP,c7b5da2a,14,4,Windows 10,1.44,Standard,1366,768,No,No,No,Intel,1.1,Celeron Dual Core N3350,64,0,Flash Storage,No,Intel,HD Graphics 500,22410,In Progress,https://images.unsplash.com/photo-1593642634528-4f8b0d1a5b4c
Acer,Aspire 3,6022456b,15.6,4,Linux,2.1,Standard,1366,768,No,No,No,Intel,2.7,Core i3 7130U,1024,0,HDD,No,Intel,HD Graphics 620,33030,Under Warranty,https://images.unsplash.com/photo-1573729784472-1c977e33d5d3
Dell,Inspiron 5770,30f9cd2f,17.3,8,Windows 10,2.8,Full HD,1920,1080,No,Yes,No,Intel,1.6,Core i5 8250U,128,1024,SSD,HDD,AMD,Radeon 530,88110,Under Warranty,https://images.unsplash.com/photo-1588872657578-7efd1f1555ed
HP,250 G6,3ee7af07,15.6,4,Windows 10,1.86,Standard,1366,768,No,No,No,Intel,2.5,Core i5 7200U,1024,0,HDD,No,Intel,HD Graphics 620,43982.1,In Progress,https://images.unsplash.com/photo-1580894908361-967195033215
HP,ProBook 450,a9160171,15.6,8,Windows 10,2.1,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Nvidia,GeForce 930MX ,79110,Warranty Expired,https://images.unsplash.com/photo-1602080858428-57174f9431cf
Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),8447207,15.6,4,Linux,2,Full HD,1920,1080,No,No,No,Intel,2,Core i3 6006U,1024,0,HDD,No,Intel,HD Graphics 620,35010,Under Warranty,https://images.unsplash.com/photo-1616628188463-3a593be47e6c
Dell,Inspiron 7577,26e93816,15.6,16,Windows 10,2.65,Full HD,1920,1080,No,Yes,No,Intel,2.8,Core i7 7700HQ,256,1024,SSD,HDD,Nvidia,GeForce GTX 1060,134910,Under Warranty,https://images.unsplash.com/photo-1612219469155-1d257f1d8d2e
Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,d7ba2ea8,15.6,8,Linux,2.3,Standard,1366,768,No,No,No,Intel,2.5,Core i5 7200U,1024,0,HDD,No,Nvidia,GeForce 940MX,47069.1,In Progress,https://images.unsplash.com/photo-1593642632823-8f785ba67e45
Acer,Aspire A515-51G,d9af8434,15.6,4,Windows 10,2.2,Full HD,1920,1080,No,Yes,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,61380,In Progress,https://images.unsplash.com/photo-1610465299990-7c5b08a39f9c
Dell,Inspiron 7773,3cb94e72,17.3,12,Windows 10,2.77,Full HD,1920,1080,Yes,No,No,Intel,1.6,Core i5 8250U,1024,0,HDD,No,Nvidia,GeForce 150MX,89910,Under Warranty,https://images.unsplash.com/photo-1602080858428-57174f9431cf
Apple,MacBook Pro,91d9e0a9,13.3,8,macOS,1.37,Standard,2560,1600,No,Yes,Yes,Intel,2,Core i5,256,0,SSD,No,Intel,Iris Graphics 540,127710,Warranty Expired,https://images.unsplash.com/photo-1517336714731-489689fd1ca8
Lenovo,IdeaPad 320-15ISK,3c73cc79,15.6,4,No OS,2.2,Standard,1366,768,No,No,No,Intel,2,Core i3 6006U,128,0,SSD,No,Intel,HD Graphics 520,33210,Under Warranty,https://images.unsplash.com/photo-1616628188463-3a593be47e6c
Asus,Rog Strix,5de625b3,17.3,8,Windows 10,3.2,Full HD,1920,1080,No,No,No,AMD,3,Ryzen 1700,256,1024,SSD,HDD,AMD,Radeon RX 580,116910,Warranty Expired,https://images.unsplash.com/photo-1616628188463-3a593be47e6c
Dell,Inspiron 3567,c4163162,15.6,4,Windows 10,2.3,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,AMD,Radeon R5 M430,57510,In Progress,https://images.unsplash.com/photo-1612219469155-1d257f1d8d2e
Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,27d941da,17.3,4,Windows 10,2.8,Standard,1366,768,No,No,No,Intel,1.1,Pentium Quad Core N4200,1024,0,HDD,No,Nvidia,GeForce 920MX,41940,Warranty Expired,https://images.unsplash.com/photo-1616628188463-3a593be47e6c
Lenovo,Yoga Book,4d3dccc8,10.1,4,Android,0.69,Standard,1920,1200,Yes,Yes,No,Intel,1.44,Atom x5-Z8550,64,0,Flash Storage,No,Intel,HD Graphics 400,28710,In Progress,https://images.unsplash.com/photo-1593642634528-4f8b0d1a5b4c
Acer,Aspire A515-51G,1a449a41,15.6,8,Windows 10,2.2,Full HD,1920,1080,No,Yes,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,Nvidia,GeForce MX150,75690,Warranty Expired,https://images.unsplash.com/photo-1610465299990-7c5b08a39f9c
HP,255 G6,05e99dc1,15.6,4,Windows 10,1.86,Full HD,1920,1080,No,No,No,AMD,2.5,A6-Series 9220,256,0,SSD,No,AMD,Radeon R4 Graphics,35864.1,Warranty Expired,https://images.unsplash.com/photo-1580894908361-967195033215
HP,ProBook 430,26c80d63,13.3,8,Windows 10,1.49,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,512,0,SSD,No,Intel,UHD Graphics 620,99270,Warranty Expired,https://images.unsplash.com/photo-1691085475426-d9636c7010b3
Acer,Aspire 3,a3943013,15.6,4,Windows 10,2.4,Standard,1366,768,No,No,No,Intel,2.4,Core i3 7100U,1024,0,HDD,No,Intel,HD Graphics 620,34560,Under Warranty,https://images.unsplash.com/photo-1610465299990-7c5b08a39f9c
Dell,Inspiron 3576,a82fba3e,15.6,8,Windows 10,2.13,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,AMD,Radeon 520,69102,Under Warranty,https://images.unsplash.com/photo-1588872657578-7efd1f1555ed
HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),a29d44c5,15.6,4,Windows 10,1.91,Full HD,1920,1080,No,No,No,Intel,2,Core i3 6006U,128,0,SSD,No,Intel,HD Graphics 520,39510,Under Warranty,https://images.unsplash.com/photo-1580894908361-967195033215
Asus,VivoBook Max,0f538401,15.6,4,Windows 10,2,Standard,1366,768,No,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,52757.1,In Progress,https://images.unsplash.com/photo-1587825140400-8b0d2e9cfc6f
MSI,GS73VR 7RG,655cee5c,17.3,16,Windows 10,2.43,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,256,2048,SSD,HDD,Nvidia,GeForce GTX 1070,220410,Under Warranty,https://images.unsplash.com/photo-1616628188463-3a593be47e6c
Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),92422818,15.6,4,Linux,2,Full HD,1920,1080,No,No,No,Intel,2,Core i3 6006U,256,0,SSD,No,Intel,HD Graphics 520,37350,In Progress,https://images.unsplash.com/photo-1593642632823-8f785ba67e45
Dell,Inspiron 5770,4b25df6a,17.3,16,Windows 10,2.8,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,256,2048,SSD,HDD,AMD,Radeon 530,116910,Warranty Expired,https://images.unsplash.com/photo-1588872657578-7efd1f1555ed
Dell,Vostro 5471,0629496b,14,8,Windows 10,1.7,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,79110,Warranty Expired,https://images.unsplash.com/photo-1612219469155-1d257f1d8d2e
Lenovo,IdeaPad 520S-14IKB,ebf6f74c,14,8,No OS,1.7,Full HD,1920,1080,No,Yes,No,Intel,2.7,Core i3 7130U,256,0,SSD,No,Intel,HD Graphics 620,53910,Under Warranty,https://images.unsplash.com/photo-1616628188463-3a593be47e6c
Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),c00ea261,14,8,Windows 10,1.4,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,84690,Warranty Expired,https://images.unsplash.com/photo-1587825140400-8b0d2e9cfc6f
HP,250 G6,4d1aeab2,15.6,8,Windows 10,1.86,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,62100,In Progress,https://images.unsplash.com/photo-1610465299990-7c5b08a39f9c
Asus,ZenBook Pro,373c8417,15.6,16,Windows 10,1.8,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,512,0,SSD,No,Nvidia,GeForce GTX 1050 Ti,178470,Under Warranty,https://images.unsplash.com/photo-1587825140400-8b0d2e9cfc6f
HP,250 G6,7e6918d8,15.6,4,Windows 10,1.86,Standard,1366,768,No,No,No,Intel,2,Core i3 6006U,500,0,HDD,No,AMD,Radeon 520,39482.1,Under Warranty,https://images.unsplash.com/photo-1691085475426-d9636c7010b3
HP,Stream 14-AX040wm,d8eaf4f7,14,4,Windows 10,1.44,Standard,1366,768,No,No,No,Intel,1.6,Celeron Dual Core N3060,32,0,SSD,No,Intel,HD Graphics 400,20610,In Progress,https://images.unsplash.com/photo-1610465299990-7c5b08a39f9c
Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),ebb9f372,15.6,4,Windows 10,1.9,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,1024,0,HDD,No,Intel,HD Graphics 620,49410,In Progress,https://images.unsplash.com/photo-1616628188463-3a593be47e6c
Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,77cc3d32,17.3,12,Linux,3,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,1024,0,HDD,No,Nvidia,GeForce GTX 1050 Ti,85410,Warranty Expired,https://images.unsplash.com/photo-1587825140708-dfaf72ae4b04
Microsoft,Surface Laptop,0435b018,13.5,4,Windows 10 S,1.252,Standard,2256,1504,Yes,No,No,Intel,2.5,Core i5 7200U,128,0,SSD,No,Intel,HD Graphics 620,98010,Under Warranty,https://images.unsplash.com/photo-1593642532973-d31b6557fa68
Dell,Inspiron 5370,eb73410e,13.3,8,Windows 10,1.4,Full HD,1920,1080,No,Yes,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,AMD,Radeon 530,85950,In Progress,https://images.unsplash.com/photo-1588872657578-7efd1f1555ed
Dell,Inspiron 5570,628a9cdc,15.6,8,Windows 10,2.2,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,AMD,Radeon 530,78300,Warranty Expired,https://images.unsplash.com/photo-1612219469155-1d257f1d8d2e
MSI,GL72M 7RDX,fe66afb9,17.3,8,Windows 10,2.7,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7300HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1050,98550,Under Warranty,https://images.unsplash.com/photo-1610465299990-7c5b08a39f9c
Acer,Aspire E5-475,9d558cc8,14,8,Windows 10,2.1,Standard,1366,768,No,No,No,Intel,2,Core i3 6006U,1024,0,HDD,No,Intel,HD Graphics 520,35010,Warranty Expired,https://images.unsplash.com/photo-1573729784472-1c977e33d5d3
Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,83cdd18a,15.6,8,Windows 10,2.2,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,1024,0,HDD,No,Nvidia,GeForce GTX 1050,85410,Warranty Expired,https://images.unsplash.com/photo-1587825140400-8b0d2e9cfc6f
Lenovo,IdeaPad 320-15IKBN,3bf8854e,15.6,8,No OS,2.2,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,2048,0,HDD,No,Intel,HD Graphics 620,46710,In Progress,https://images.unsplash.com/photo-1616628188463-3a593be47e6c
Dell,Inspiron 5570,ab5bc555,15.6,8,Windows 10,2.02,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,128,1024,SSD,HDD,Intel,UHD Graphics 620,76950,Warranty Expired,https://images.unsplash.com/photo-1588872657578-7efd1f1555ed
Acer,Aspire A515-51G-32MX,71939363,15.6,4,Windows 10,2.2,Full HD,1920,1080,No,No,No,Intel,2.7,Core i3 7130U,1024,0,HDD,No,Nvidia,GeForce MX130,47700,In Progress,https://images.unsplash.com/photo-1602080858428-57174f9431cf
HP,ProBook 470,c1c7ded4,17.3,8,Windows 10,2.5,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,128,1024,SSD,HDD,Nvidia,GeForce 930MX,87930,Under Warranty,https://images.unsplash.com/photo-1610465299990-7c5b08a39f9c
Dell,Latitude 5590,a03f907c,15.6,8,Windows 10,1.88,Full HD,1920,1080,No,Yes,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,98654.4,Warranty Expired,https://images.unsplash.com/photo-1602080858428-57174f9431cf
Apple,"MacBook 12""",2249a0e5,12,8,macOS,0.92,Standard,2304,1440,No,Yes,Yes,Intel,1.3,Core i5,512,0,SSD,No,Intel,HD Graphics 615,135900,Under Warranty,https://images.unsplash.com/photo-1512499617640-c2f999098a59
HP,ProBook 440,8cd1bef2,14,8,Windows 10,1.63,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,HD Graphics 620,77400,Under Warranty,https://images.unsplash.com/photo-1610465299990-7c5b08a39f9c
Lenovo,IdeaPad 320-15AST,dba172c3,15.6,4,Windows 10,2.2,Full HD,1920,1080,No,No,No,AMD,2.5,A6-Series 9220,128,0,SSD,No,AMD,R4 Graphics,35910,In Progress,https://images.unsplash.com/photo-1610465299990-7c5b08a39f9c
Acer,Aspire 3,8d62e737,15.6,4,Windows 10,2.1,Standard,1366,768,No,No,No,AMD,3,A9-Series 9420,1024,0,HDD,No,AMD,Radeon R5,35550,Under Warranty,https://images.unsplash.com/photo-1610465299990-7c5b08a39f9c
Dell,Inspiron 7577,8c0c86d7,15.6,16,Windows 10,2.65,Full HD,1920,1080,No,Yes,No,Intel,2.8,Core i7 7700HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1050 Ti,121410,Under Warranty,https://images.unsplash.com/photo-1593642702821-c8da6771f0c6
HP,Pavilion 15-CK000nv,8d11010a,15.6,8,Windows 10,1.83,Full HD,1920,1080,No,Yes,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,Nvidia,GeForce GTX 940MX,62910,Warranty Expired,https://images.unsplash.com/photo-1691085475426-d9636c7010b3
HP,250 G6,c26167fb,15.6,8,Windows 10,1.96,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,53909.1,In Progress,https://images.unsplash.com/photo-1602080858428-57174f9431cf
Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,4ae5ec78,15.6,16,Windows 10,2.2,Full HD,1920,1080,No,Yes,No,Intel,2.8,Core i7 7700HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1060,130410,Warranty Expired,https://images.unsplash.com/photo-1587825140708-dfaf72ae4b04
Dell,XPS 13,4ee9546f,13.3,8,Windows 10,1.21,Full HD,1920,1080,No,Yes,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,Intel,UHD Graphics 620,148410,Warranty Expired,https://images.unsplash.com/photo-1588872657578-7efd1f1555ed
Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,4b77fe99,15.6,8,Windows 10,2.45,Full HD,1920,1080,No,No,No,AMD,3,FX 9830P,1024,0,HDD,No,AMD,Radeon RX 560,62910,Under Warranty,https://images.unsplash.com/photo-1593642632823-8f785ba67e45
Acer,Aspire 5,be8889cf,15.6,8,Windows 10,2.2,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,1024,0,HDD,No,Nvidia,GeForce MX150,62010,Under Warranty,https://images.unsplash.com/photo-1593642532973-d31b6557fa68
HP,Probook 430,8b2b9a2e,13.3,16,Windows 10,1.49,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,512,0,SSD,No,Intel,UHD Graphics 620,107730,Warranty Expired,https://images.unsplash.com/photo-1691085475426-d9636c7010b3
Dell,Inspiron 7577,d376cf8b,15.6,8,Windows 10,2.65,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7300HQ,256,0,SSD,No,Nvidia,GeForce GTX 1060,107550,Warranty Expired,https://images.unsplash.com/photo-1588872657578-7efd1f1555ed
Asus,Zenbook UX430UA,29db0f8f,14,8,Windows 10,1.25,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,Intel,HD Graphics 620,94410,Warranty Expired,https://images.unsplash.com/photo-1587825140708-dfaf72ae4b04
Acer,Spin 5,2fb44d95,13.3,8,Windows 10,1.5,Full HD,1920,1080,Yes,Yes,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,76230,Under Warranty,https://images.unsplash.com/photo-1602080858428-57174f9431cf
Dell,Inspiron 3567,6e7ec0bb,15.6,8,Linux,2.2,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,1024,0,HDD,No,AMD,Radeon R5 M430,53991,Under Warranty,https://images.unsplash.com/photo-1602080858428-57174f9431cf
Dell,Inspiron 3567,92002631,15.6,4,Linux,2.2,Full HD,1920,1080,No,No,No,Intel,2,Core i3 6006U,256,0,SSD,No,AMD,Radeon R5 M430,43650,Under Warranty,https://images.unsplash.com/photo-1593642702821-c8da6771f0c6
Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,e7ecf119,15.6,6,Windows 10,2,Full HD,1920,1080,No,No,No,Intel,2.4,Core i3 7100U,256,0,SSD,No,Nvidia,GeForce 920M,51930,Warranty Expired,https://images.unsplash.com/photo-1587825140400-8b0d2e9cfc6f
HP,Omen 15-ce007nv,ace5e98a,15.6,12,Windows 10,2.62,Full HD,1920,1080,No,Yes,No,Intel,2.8,Core i7 7700HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1050,112410,Under Warranty,https://images.unsplash.com/photo-1610465299990-7c5b08a39f9c
